path	# lines of code
coverage/lcov-report/api/orders/index.html	102
coverage/lcov-report/api/orders/route.ts.html	266
coverage/lcov-report/api/product/index.html	102
coverage/lcov-report/api/product/route.ts.html	275
coverage/lcov-report/api/professional/[id]/index.html	102
coverage/lcov-report/api/professional/[id]/route.ts.html	386
coverage/lcov-report/api/uploads/index.html	102
coverage/lcov-report/api/uploads/route.ts.html	158
coverage/lcov-report/api/user/connect-stripe-account/index.html	102
coverage/lcov-report/api/user/connect-stripe-account/route.ts.html	146
coverage/lcov-report/api/user/create-stripe-account/index.html	102
coverage/lcov-report/api/user/create-stripe-account/route.ts.html	269
coverage/lcov-report/api/user/delete/index.html	102
coverage/lcov-report/api/user/delete/route.ts.html	137
coverage/lcov-report/api/user/login/index.html	102
coverage/lcov-report/api/user/login/route.ts.html	188
coverage/lcov-report/api/user/logout/index.html	102
coverage/lcov-report/api/user/logout/route.ts.html	104
coverage/lcov-report/api/user/me/index.html	102
coverage/lcov-report/api/user/me/route.ts.html	104
coverage/lcov-report/api/user/register/index.html	102
coverage/lcov-report/api/user/register/route.ts.html	362
coverage/lcov-report/api/user/update/index.html	102
coverage/lcov-report/api/user/update/route.ts.html	332
coverage/lcov-report/base.css	203
coverage/lcov-report/block-navigation.js	66
coverage/lcov-report/index.html	298
coverage/lcov-report/lib/auth/index.html	102
coverage/lcov-report/lib/auth/login.ts.html	290
coverage/lcov-report/lib/storage/index.html	102
coverage/lcov-report/lib/storage/uploadAdapter.ts.html	134
coverage/lcov-report/prettify.css	1
coverage/lcov-report/sorter.js	171
coverage/lib/auth/index.html	102
coverage/lib/auth/login.ts.html	290
coverage/lib/storage/index.html	102
coverage/lib/storage/uploadAdapter.ts.html	134
coverage/prettify.css	1
coverage/sorter.js	171
cypress/support/commands.ts	1
cypress/support/e2e.ts	1
cypress.config.ts	7
db.js	4
eslint.config.mjs	25
features/step_definitions/auth.steps.ts	53
features/step_definitions/browse.steps.ts	71
features/step_definitions/product.steps.ts	170
features/step_definitions/productCrud.steps.ts	122
features/step_definitions/upload.steps.ts	116
features/support/authService.ts	54
features/support/browseService.ts	117
features/support/productCrudFixture.ts	187
features/support/productService.ts	282
features/support/uploadFixture.ts	55
hooks/use-mobile.ts	17
lib/prisma.ts	8
lib/utils.ts	5
next.config.ts	29
postcss.config.mjs	4
prettier.config.mjs	8
prisma/migrations/20251002155517_init/migration.sql	47
prisma/migrations/20251002182928_changed_ids_to_string_instead_of_big_int/migration.sql	38
prisma/migrations/20251002184927_added_default_date_value_to_posts/migration.sql	1
prisma/migrations/20251016163611_added_category_column_in_posts/migration.sql	2
prisma/migrations/20251016165121_added_category/migration.sql	3
prisma/migrations/20251016170846_category_is_now_with_a_small_letter/migration.sql	2
prisma/migrations/20251017214247_category_order/migration.sql	4
prisma/migrations/20251018141155_enum_status_for_commands/migration.sql	2
prisma/migrations/20251030155920_add_vendor_id/migration.sql	1
prisma/migrations/20251030170423_add_review_replies/migration.sql	9
prisma/migrations/20251030220108_add_rating/migration.sql	1
prisma/migrations/20251030221317_change_rating_on_reviews_and_the_type_on_posts_rating/migration.sql	2
prisma/migrations/20251030223914_add_product_rating_metrics/migration.sql	2
prisma/migrations/migration_lock.toml	3
prisma/schema.prisma	79
prisma/seed.ts	65
prisma.config.ts	18
types/Category.ts	8
types/Comment.ts	46
types/Country.ts	257
types/Order.ts	12
types/PostBody.ts	29
types/Professional.ts	22
types/Status.ts	5
types/User.ts	8
types/UserBody.ts	8
